timestamp,v,omega
1.0,1.0091415123926328,-0.036302293644614306
2.0,1.0263819392458848,0.027150060337388565
3.0,1.0263535090392182,-0.0017427430575354449
4.0,0.9871501653351068,-0.012291779725514585
5.0,0.9846327181278539,-0.028406026941725063
6.0,1.0222976251361033,0.018959660656372668
7.0,1.0035005742742218,0.007633672098974755
8.0,1.0086735819606996,0.022036116139912142
9.0,0.9917457324631995,0.052183296010243005
10.0,1.00488259195315,0.02046301966187322
11.0,0.025739276437714613,0.7787203827124701
12.0,0.0042727720821169575,0.809500649128011
13.0,1.0137032571267224,-0.023105574151950022
14.0,1.0144223997671773,0.015586878469049811
15.0,0.9493799669812591,-0.05051375458091704
16.0,0.9719914695997037,-0.00717112358409305
17.0,0.9821755013290961,-0.05047694146680653
18.0,0.9692950752213441,0.006257900197182315
19.0,0.9808074540175076,-0.032343601894584934
20.0,1.0599019267507537,0.1017129879642185
21.0,0.9816370960282057,-0.0049145290495345665
22.0,0.9497595116588693,-0.01697534838363766
23.0,0.003908235644186575,0.8197022437110312
24.0,0.06385409197305493,0.7567263594284722
25.0,0.9803563691371183,0.01557085723496367
26.0,0.9964408502167035,0.00997721444865866
27.0,0.95895522402263,0.05762825626115424
28.0,0.9667886295386954,-0.031231864774665778
29.0,1.0027175472070524,0.02247770424800059
30.0,1.0274770762706804,-0.04629984019806238
31.0,1.0161434631101178,0.04668400076963351
32.0,1.0052972007536114,-0.03785228445965269
33.0,0.9560967399448899,-0.020619564616573917
34.0,0.9355813291078403,-0.0056781117885922544
35.0,-0.026305823345027644,0.7821077795313545
36.0,-0.03290356735363919,0.8495185416847144
37.0,0.9926416646217368,0.02713420020349858
38.0,1.0069650966887878,-0.019384576788669693
39.0,0.9783532589937146,0.011047733859735447
40.0,1.0144043021017484,-0.06089753911370913
41.0,0.9912348644258934,-0.0036124220298750427
42.0,1.008879819690613,-0.012982267960465421
43.0,0.9981602696251346,-0.03675309140225734
44.0,1.0353223566693308,0.015327016497936632
45.0,1.0248396453039117,-0.010352279209919553
46.0,1.0296875180378455,-0.041130555623065536
47.0,0.03513741280401958,0.8116084356064096
48.0,-0.04716120766959722,0.783061056773987
49.0,0.9790320871426376,-0.035385411458061664
50.0,1.0021610071969773,0.01444749644354484
51.0,1.0110506983810197,0.02955135589524893
52.0,1.007032026780961,0.009436759271945974
53.0,0.9962497290904127,0.051712554057169714
54.0,1.0257038194769958,0.02938506375318096
55.0,0.9938451493340187,-0.06993612126732826
56.0,0.9519322137682322,-0.043690729919133094
57.0,1.0082882253798566,-0.049314832467539434
58.0,1.021058608786638,0.004825536304192085
59.0,-0.0053883424149437555,0.7922669449492213
60.0,-0.0035262650198439106,0.8143538403800669
61.0,0.9796520667953447,0.02616017815262021
62.0,1.0027637997530232,-0.029230712312283292
63.0,1.024107550581358,0.060066198445666706
64.0,0.9839829928487933,-0.0373414035163073
65.0,0.9897164154740686,-0.05155206297554679
66.0,1.058530376803789,0.07250029746360348
67.0,1.0094172463437265,-0.02909005909446168
68.0,1.0104312535735287,-0.014209711075049675
69.0,1.0001901718708681,0.09067591884329652
70.0,0.9982965041682192,-0.005948346723349678
71.0,-0.025546115675573036,0.808631471050116
72.0,-0.009260191666392378,0.818054918691319
