timestamp,landmark_id,range,bearing
1.0,0,2.903472244326836,0.8346460167847883
1.0,1,4.9039159947274005,0.12921360030965012
1.0,9,1.4269976026898237,-0.8019565868117615
1.0,16,5.383484691384075,-0.42517165271327395
2.0,0,2.2426710472559113,1.1661709293713314
2.0,1,4.169856559842865,0.1999862149822131
2.0,16,4.5090110334078295,-0.5138545845744638
3.0,1,3.1437914238138536,0.28609716682478104
3.0,16,3.727805409331392,-0.5960937483080737
4.0,1,2.289298896055125,0.48278221546587585
4.0,2,5.8722251560049,0.56297723523828
4.0,16,3.0425918848332363,-0.806678003893823
5.0,1,1.4758115046306448,0.8445110144127546
5.0,2,4.988605254234512,0.5995106185284284
5.0,16,2.153619855930666,-1.0730837590822806
6.0,2,4.176089716390416,0.7975541018473499
7.0,2,3.6926941532588082,0.9945011588040944
7.0,10,5.166910869899974,-0.19385712804583516
8.0,10,3.977390043632094,-0.26171660887473436
8.0,18,5.3612896477667045,0.5545510376378584
9.0,10,3.075694548599055,-0.2710516183063987
9.0,18,4.441485251484863,0.6910917329609951
10.0,10,2.3071906354790754,-0.42210804490330844
10.0,18,3.870252330728483,0.8518493673447088
11.0,2,3.0347090278345874,1.0478099380287473
11.0,18,3.813179609353166,0.11669116288695416
12.0,2,3.119552395534726,0.3300516732097921
12.0,18,3.9676838773500607,-0.7109356231400119
13.0,2,2.1997625928432827,0.4436598596111063
13.0,3,4.97943554903388,-0.17189774038094097
13.0,18,3.154621884696152,-0.8954011940445442
14.0,2,1.4807520732703738,0.7802414754871143
14.0,3,4.0807757944132454,-0.24915269888921177
15.0,3,3.0300076989329394,-0.3739662761867845
15.0,4,6.039977422672344,-0.047410772471643214
15.0,14,5.552353688345535,1.175176152388435
15.0,15,5.8167235582536705,0.38738722844731205
16.0,3,2.141065772008732,-0.48139933934369206
16.0,4,5.0840308137457395,-0.09044228586494493
16.0,15,4.967871265252637,0.43067213660895964
17.0,3,1.421426513144482,-0.8131223368128516
17.0,4,4.023267621135471,0.001144175664027054
17.0,15,4.191306763281366,0.5066134828987792
18.0,4,3.0219996683971764,0.07116689502043133
18.0,5,5.9144630194367585,0.5591052252322992
18.0,15,3.3478924078383803,0.6124974542515589
19.0,4,1.9610190196844233,-0.07208311812436223
19.0,5,5.06351509468144,0.6318655555821773
19.0,11,5.683871265395035,-0.5935950966149355
19.0,15,2.5313513847450198,0.9711794224762026
20.0,4,1.0414409433275997,-0.05181209480565266
20.0,5,4.029436059046154,0.7994155027871346
20.0,11,4.918705890468967,-0.6652491640798791
21.0,5,3.7121492985427533,0.9910167670097141
21.0,11,4.226777203415416,-0.8396248670897861
22.0,11,3.600173020382157,-0.8902251294379258
23.0,5,3.112348100314464,0.4016040984759271
23.0,6,5.903488323776763,0.747425415455159
24.0,5,3.246126580542014,-0.36902771088672154
24.0,6,6.093157301287424,0.020155985451841222
24.0,15,2.484336210234191,0.6413667879158038
25.0,5,2.190569629465712,-0.5278201767282811
25.0,6,4.872206242568038,0.009036682240236174
25.0,15,1.960684763373038,0.9911708645446338
26.0,5,1.5448137365437775,-0.7739113224872676
26.0,6,3.9589072769166265,0.057925141404557935
26.0,14,5.451202557042146,1.0632057189500141
26.0,19,5.166138514215691,-0.5712115529690257
27.0,6,3.17236657207833,-0.009399604027113958
27.0,19,4.262843901407715,-0.5437284417805074
28.0,6,2.0643326794689045,-0.020661475917409744
28.0,7,5.3846526204624965,0.37194852695759795
28.0,19,3.569291360812631,-0.7117025854713805
29.0,6,0.7949827898968977,-0.002550889559971556
29.0,7,4.387812927970293,0.3998307063887037
29.0,19,2.8276607107297753,-1.0478714889692762
30.0,7,3.608614424723431,0.5626515513000088
30.0,12,5.352397497698307,-0.3280021001572546
31.0,7,2.8129765568212,0.7489586934617023
31.0,12,4.44975007331153,-0.4509505067011933
32.0,7,2.2451169556625774,1.1190987252158482
32.0,12,3.857298679217381,-0.4897312495020326
32.0,17,5.229748571311443,0.8369189695498256
33.0,12,2.8599876251052243,-0.7222598154526628
33.0,17,4.644082182253941,0.9779459839431863
34.0,12,2.1298265363138333,-1.1348701013863245
35.0,8,5.824227160864337,0.7085838539740454
35.0,17,4.484926583861595,0.3592182044036077
36.0,7,2.5265746944238305,0.40230452376232856
36.0,8,5.963175104321197,0.01788380682712532
36.0,17,4.444871637099324,-0.41044238606612615
37.0,7,1.4576901698197569,0.7657026775644536
37.0,8,4.986617703548396,-0.0719893761837756
37.0,17,3.330284591852218,-0.47759562536114547
38.0,8,4.047153852254514,0.053025676223949214
38.0,14,5.605712876516321,1.1255666402687583
38.0,17,2.505315534757787,-0.6434966899813509
39.0,0,5.821223235003952,0.6500175366383062
39.0,8,3.157335490247524,0.02020287824874063
39.0,13,5.308859086165027,-0.4387521055815668
39.0,17,1.9218899330408812,-0.9690362059896848
40.0,0,5.092743848155818,0.6672945020628848
40.0,8,1.8889569315585522,-0.024688981184501912
40.0,13,4.498507675435231,-0.46090045386291695
41.0,0,4.217442949298596,0.7933863178513536
41.0,8,1.1471491972993157,-0.13438992170506706
41.0,13,3.581866249013021,-0.5787604347767175
42.0,0,3.429879097216131,0.999967526614777
42.0,9,5.557899828550922,0.30019358175720706
42.0,13,2.914809926116009,-0.8025997038554789
43.0,9,4.438690337763992,0.5317177848015621
43.0,13,2.294333501698561,-1.0164450942393535
44.0,9,3.7799447280807685,0.6109882315887076
45.0,9,2.8350817063321103,0.7488811374021374
46.0,9,2.314303011741555,1.0971662517664682
47.0,9,2.418132593264469,0.36001382774848395
48.0,0,3.4883505562045074,0.5608655344595416
48.0,9,2.387190820827461,-0.43026641672195115
49.0,0,2.831705334033816,0.7216992229316843
49.0,1,5.031905485853126,0.21373233757781115
49.0,9,1.5297447659837642,-0.753523487248635
49.0,16,5.156035856274693,-0.3645697724470546
50.0,0,2.39768894566491,0.9991178142438402
50.0,1,4.063995283098549,0.27591844583765357
50.0,16,4.3139765150541844,-0.386367097560177
51.0,1,3.105183294016199,0.3643591215659084
51.0,16,3.7123984310628924,-0.57580913892681
52.0,1,2.149733451025851,0.4559230253668581
52.0,2,5.815699641600064,0.5604939560653233
52.0,16,2.9284095494372187,-0.8408229830425
53.0,1,1.339854739491838,0.7423452531685595
53.0,2,5.020230619183119,0.6877130139804295
53.0,16,2.2372105830558553,-1.037564503996971
54.0,2,4.298052337251694,0.9072737947333279
55.0,2,3.7659767116157026,0.9588286370832261
55.0,10,5.109807558027087,-0.12882764633219224
56.0,10,3.9629778319057753,-0.2865595420384129
56.0,18,5.452290573797684,0.6154490148155956
57.0,10,2.931267316505115,-0.318904607320664
57.0,18,4.56259462528261,0.73267965488748
58.0,10,2.312081286037375,-0.45164612951682076
58.0,18,3.9581313085134737,0.8391614448346405
